need_id,label,definition,start_trigger,end_state,end_state_visibility,bounded,evidence_status,notes
pre_death_planning,Prepare for an anticipated death,"Put in place will, lasting power of attorney, funeral plan and account access before death. Excludes medical care decisions.",Terminal prognosis or sustained decline,"Will, LPA and funeral wishes documented and accessible to next of kin",partial,yes,asserted,Only triggered by anticipated variants. LPA registration with OPG is the partial trace. This is the pre-event signal.
register_death,Register the death,Obtain death certificate from the registrar. Excludes coroner processes.,Death,Death certificate issued,registered,yes,asserted,Statutory within 5 days in England and Wales.
arrange_funeral,Arrange and pay for the funeral,"Choose provider, arrange ceremony, settle cost. Excludes headstone and memorial.",Death certificate issued,Funeral held and invoice settled,invisible,yes,asserted,Partial trace only via DWP Funeral Expenses Payment claims.
notify_state,Notify state bodies of the death,"Inform DWP, HMRC, DVLA, Passport Office, council. Excludes probate.",Death registered,All state records updated and overpayments reconciled,partial,yes,asserted,Tell Us Once covers most in one step; uptake is the behaviour of interest.
settle_household_accounts,Close or transfer household accounts,"Energy, water, telecoms, broadband, subscriptions, insurance in the deceased's name. Excludes bank accounts.",Death registered,Every account closed or in the survivor's name with no outstanding balance,invisible,yes,asserted,No public trace. Supplier bereavement teams see this first. Key touchpoint for the Octopus lens.
administer_estate,Administer the estate,"Obtain grant of probate or letters of administration, value estate, pay IHT, distribute. Excludes paying individual creditors.",Death registered,Estate distributed and accounts closed,registered,yes,asserted,Grant of probate is public via HMCTS probate records.
settle_estate_debts,Identify and settle debts of the estate,"Notify banks and creditors, freeze accounts, pay liabilities from the estate. Excludes the survivor's own debts.",Death registered,All creditors notified and liabilities settled or written off,partial,yes,asserted,Partial via credit reference agencies and the Deceased Notification Service.
claim_entitlements,Claim entitlements arising from the death,"Bereavement Support Payment, private pension death benefits, life insurance, death-in-service. Excludes inheritance.",Death registered,All eligible claims decided,partial,yes,asserted,BSP has a 3-month window for full amount. Untraced pensions are the classic unfinished need.
secure_empty_property,Secure and maintain the deceased's empty property,"Insurance for unoccupied property, council tax exemption, utilities, upkeep. Excludes sale.",Property becomes unoccupied,"Property sold, transferred or re-occupied",partial,yes,asserted,Council tax Class F exemption is the partial trace.
dispose_or_transfer_property,Sell or transfer the deceased's property,"Probate sale, assent to beneficiary, or transfer of joint tenancy. Excludes rental.",Grant of probate (or death if joint tenancy),Land Registry title updated,registered,yes,asserted,Land Registry PPD and title transfers. Probate sales are identifiable in some datasets.
manage_vehicles,Deal with the deceased's vehicles,"Notify DVLA, transfer or sell owned vehicle, return or transfer leased vehicle, cancel insurance. Excludes driving licence.",Death registered,"Every vehicle transferred, sold or returned",partial,yes,asserted,DVLA keeper change is the partial trace. Leased EVs are the Octopus EV touchpoint.
manage_employment_absence,Manage absence from own employment,"Compassionate leave, phased return, informing employer. Excludes the deceased's employment.",Death,Return to normal working pattern,invisible,yes,asserted,Panel data only. Long absences shade into a condition.
receive_inheritance,Receive an inheritance,"Assets or cash passed to the bereaved as beneficiary. Excludes administering the estate.",Grant of probate,Assets transferred into beneficiary's name or account,partial,yes,asserted,HMRC IHT returns give aggregate visibility. This need carries the link to first_property_purchase.family_assisted.
